org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  329.1   00  1.5300 -4.331e-03  0.000  0.073    1.60  2.2405  7.326  0.127  0.977  0.672  1.000  2.016  2.218  1.801  1.338  0.900  0.594  0.368
  229.8   00  1.5300 -3.329e-02  0.000  0.073    1.60  2.8008  9.158  0.127  0.842  0.721  1.000  2.163  2.557  2.335  1.938  1.504  1.115  0.809
 7082.2   00  1.4183 -6.622e-02  0.000  0.073    1.60  0.0159  0.052  0.127  0.007  0.018  1.000  0.052  0.501  0.010  0.000  0.000  0.000  0.000
  300.0   50  1.4112 -2.750e-03  0.000  0.080    1.60  2.0749  6.213  0.139  0.983  0.744  1.000  2.233  2.693  2.457  2.029  1.534  1.110  0.780
  400.0   50  1.4044 -1.720e-03  0.000  0.080    1.60  1.3613  4.076  0.139  0.989  0.708  1.000  2.125  2.375  1.968  1.470  0.995  0.653  0.411
  440.0   50  1.4033 -1.719e-03  0.000  0.080    1.60  1.1521  3.450  0.139  0.988  0.691  1.000  2.074  2.250  1.791  1.286  0.834  0.528  0.319
  500.0   50  1.4017 -1.720e-03  0.000  0.080    1.60  0.9011  2.698  0.139  0.987  0.664  1.000  1.993  2.072  1.553  1.053  0.644  0.387  0.221
  550.0   50  1.4004 -2.060e-03  0.000  0.080    1.60  0.7389  2.213  0.139  0.984  0.641  1.000  1.924  1.935  1.381  0.893  0.520  0.300  0.164
  600.0   50  1.4000 -2.060e-03  0.000  0.080    1.60  0.6115  1.831  0.139  0.982  0.618  1.000  1.853  1.808  1.228  0.759  0.421  0.233  0.123
  675.0   50  1.3988 -2.395e-03  0.000  0.080    1.60  0.4654  1.393  0.139  0.977  0.582  1.000  1.746  1.638  1.035  0.598  0.310  0.162  0.081
  800.0   50  1.3944 -3.430e-03  0.000  0.080    1.60  0.3025  0.906  0.139  0.960  0.525  1.000  1.574  1.403  0.790  0.410  0.191  0.091  0.042
  870.0   50  1.3935 -4.151e-03  0.000  0.080    1.60  0.2438  0.730  0.139  0.947  0.494  1.000  1.482  1.293  0.684  0.335  0.147  0.067  0.029
 1000.0   50  1.3931 -5.320e-03  0.000  0.080    1.60  0.1702  0.510  0.139  0.919  0.440  1.000  1.320  1.125  0.532  0.233  0.093  0.039  0.016
 1020.0   50  1.3926 -5.451e-03  0.000  0.080    1.60  0.1611  0.483  0.139  0.914  0.432  1.000  1.297  1.103  0.513  0.221  0.087  0.036  0.015
55555.6   50  1.6651 -1.210e-01  0.000  0.080    1.60  0.0053  0.016  0.139  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   50  1.6664 -7.072e-02  0.000  0.080    1.60  0.0046  0.014  0.139  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   50  1.6326 -5.208e-02  0.000  0.080    1.60  0.0047  0.014  0.139  0.002  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   50  1.3221 -5.499e-02  0.000  0.080    1.60  0.0072  0.022  0.139  0.001  0.005  1.000  0.014  0.500  0.003  0.000  0.000  0.000  0.000
