brc RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  600.0   80  1.4261 -2.850e-03  0.021  0.086    1.60  0.8004  2.231  0.149  0.979  0.632  1.000  1.896  1.880  1.317  0.838  0.479  0.272  0.146
  675.0   80  1.4255 -3.336e-03  0.021  0.086    1.60  0.6207  1.730  0.149  0.973  0.601  1.000  1.802  1.715  1.122  0.670  0.359  0.193  0.098
  800.0   80  1.4198 -4.750e-03  0.021  0.086    1.60  0.4104  1.144  0.149  0.955  0.548  1.000  1.645  1.484  0.872  0.471  0.228  0.113  0.053
  870.0   80  1.4185 -5.753e-03  0.021  0.086    1.60  0.3335  0.930  0.149  0.941  0.519  1.000  1.558  1.374  0.761  0.389  0.178  0.084  0.038
 1000.0   80  1.4187 -7.360e-03  0.021  0.086    1.60  0.2369  0.660  0.149  0.911  0.469  1.000  1.406  1.201  0.597  0.276  0.115  0.050  0.021
 1020.0   80  1.4182 -7.544e-03  0.021  0.086    1.60  0.2247  0.626  0.149  0.907  0.462  1.000  1.384  1.178  0.576  0.262  0.108  0.046  0.019
55555.6   80  1.7158 -1.370e-02  0.021  0.086    1.60  0.0006  0.002  0.149  0.001  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   80  1.7232  6.905e-02  0.021  0.086    1.60  0.0000  0.000  0.149  0.000  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   80  1.7183  1.241e-01  0.021  0.086    1.60  0.0000  0.000  0.149  0.000  0.004  1.000  0.014  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   80  1.3416  1.090e-01  0.021  0.086    1.60  0.0000  0.000  0.149  0.000  0.005  1.000  0.016  0.500  0.003  0.000  0.000  0.000  0.000
13157.9   80  1.3750  1.378e-01  0.021  0.086    1.60  0.0000  0.000  0.149  0.000  0.007  1.000  0.020  0.500  0.004  0.000  0.000  0.000  0.000
11111.1   80  1.4131  3.287e-02  0.021  0.086    1.60  0.0000  0.000  0.149  0.001  0.010  1.000  0.029  0.500  0.006  0.000  0.000  0.000  0.000
 9708.7   80  1.5460 -2.043e-02  0.021  0.086    1.60  0.0040  0.011  0.149  0.018  0.013  1.000  0.041  0.501  0.007  0.000  0.000  0.000  0.000
 8849.6   80  1.9498 -1.343e-01  0.021  0.086    1.60  0.0204  0.057  0.149  0.015  0.020  1.000  0.062  0.501  0.009  0.000  0.000  0.000  0.000
 7782.1   80  1.2775 -1.232e-02  0.021  0.086    1.60  0.0037  0.010  0.149  0.027  0.019  1.000  0.055  0.501  0.012  0.000  0.000  0.000  0.000
 6968.6   80  1.3675 -1.539e-02  0.021  0.086    1.60  0.0047  0.013  0.149  0.000  0.024  1.000  0.072  0.502  0.015  0.000  0.000  0.000  0.000
 6097.6   80  1.3639  4.184e-02  0.021  0.086    1.60  0.0000  0.000  0.149  0.000  0.031  1.000  0.093  0.504  0.019  0.001  0.000  0.000  0.000
 5154.6   80  1.3842 -4.103e-03  0.021  0.086    1.60  0.0021  0.006  0.149  1.000  0.043  1.000  0.129  0.507  0.026  0.001  0.000  0.000  0.000
 4618.9   80  1.3903  1.863e-03  0.021  0.086    1.60  0.0002  0.001  0.149  1.000  0.053  1.000  0.159  0.511  0.033  0.002  0.000  0.000  0.000
 4319.7   80  1.3959  1.039e-04  0.021  0.086    1.60  0.0012  0.003  0.149  1.000  0.060  1.000  0.180  0.514  0.036  0.002  0.000  0.000  0.000
 4016.1   80  1.4002  4.188e-05  0.021  0.086    1.60  0.0017  0.005  0.149  1.000  0.068  1.000  0.206  0.518  0.042  0.003  0.000  0.000  0.000
 3418.8   80  1.4237  5.767e-03  0.021  0.086    1.60  0.0000  0.000  0.149  0.000  0.093  1.000  0.279  0.532  0.057  0.006  0.001  0.000  0.000
 3444.7   80  1.4233  4.489e-03  0.021  0.086    1.60  0.0006  0.002  0.149  0.000  0.092  1.000  0.276  0.531  0.056  0.006  0.001  0.000  0.000
 2777.0   80  1.3444  1.066e-01  0.021  0.086    1.60  0.0000  0.000  0.149  0.000  0.126  1.000  0.381  0.562  0.085  0.013  0.002  0.000  0.000
 2320.2   80  1.3405 -2.573e-02  0.021  0.086    1.60  0.0294  0.082  0.149  0.961  0.166  1.000  0.499  0.599  0.119  0.022  0.004  0.001  0.000
 2044.2   80  1.3563 -5.573e-03  0.021  0.086    1.60  0.0219  0.061  0.149  0.861  0.203  1.000  0.609  0.644  0.152  0.033  0.007  0.002  0.001
 1778.4   80  1.3843 -7.250e-03  0.021  0.086    1.60  0.0411  0.115  0.149  0.749  0.250  1.000  0.750  0.709  0.200  0.052  0.013  0.004  0.001
 1455.2   80  1.4112 -1.038e-02  0.021  0.086    1.60  0.0860  0.240  0.149  0.789  0.324  1.000  0.972  0.838  0.294  0.096  0.029  0.010  0.003
 1270.3   80  1.4117 -9.140e-03  0.021  0.086    1.60  0.1230  0.343  0.149  0.846  0.376  1.000  1.127  0.951  0.383  0.144  0.050  0.019  0.006
  944.3   80  1.4195 -6.753e-03  0.021  0.086    1.60  0.2748  0.766  0.149  0.924  0.490  1.000  1.470  1.270  0.660  0.318  0.138  0.062  0.027
